Category,Subcategory,Budgeted (€),Actual (€),Difference (€),Notes
Income,Salary,,,,
Income,Freelance,,,,
Income,Other,,,,
Fixed Expenses,Rent/Mortgage,,,,
Fixed Expenses,Health Insurance,,,,
Fixed Expenses,Utilities (Electricity/Gas/Water),,,,
Fixed Expenses,Internet/Phone,,,,
Fixed Expenses,Transport (Monthly pass),,,,
Fixed Expenses,Subscriptions (Netflix, Spotify),,,,
Fixed Expenses,Debt Payments (Minimum),,,,
Variable Essentials,Groceries,,,,
Variable Essentials,Dining Out,,,,
Variable Essentials,Transport (Extra),,,,
Variable Essentials,Healthcare (Pharmacies, Copays),,,,
Variable Essentials,Household Items,,,,
Discretionary,Entertainment,,,,
Discretionary,Travel,,,,
Discretionary,Shopping,,,,
Discretionary,Gifts/Donations,,,,
Savings & Investments,Emergency Fund,,,,
Savings & Investments,Retirement (Private Pension),,,,
Savings & Investments,Investments (ETFs/Stocks),,,,
Savings & Investments,Big Goals (e.g., Down Payment),,,,
TOTALS,,,,"=SUM(C2:C24)","=SUM(D2:D24)"
